budget_frac,side_low,side_high,delta_at_low,delta_at_high,difference_of_differences,ci_lo,ci_hi,n
0.05,0,6,0.0,-0.03606683422687867,-0.03606683422687867,-0.13438303253288322,0.053643373699496295,100
0.1,0,6,0.0,0.11531496094947076,0.11531496094947076,-0.022108752850450837,0.284637580179878,100
0.2,0,6,0.0,-0.016566559611995282,-0.016566559611995282,-0.07375566756405202,0.03725830598484131,100
